n_sites,algorithm,time,degeneracy
1,CutFree,0.076,2.60919E+11
1,CutFree,0.008,1.10075E+11
1,CutFree,0.009,1.10075E+11
1,CutFree,0.016,1.10075E+11
1,CutFree,0.009,1.10075E+11
1,CutFree,0.008,82556485632
1,CutFree,0.008,1.10075E+11
1,CutFree,0.01,1.10075E+11
1,CutFree,0.008,1.10075E+11
1,CutFree,0.007,1.10075E+11
2,CutFree,0.154,46438023168
2,CutFree,0.103,46438023168
2,CutFree,0.024,82556485632
2,CutFree,0.027,1.10075E+11
2,CutFree,0.009,1.10075E+11
2,CutFree,0.121,48922361856
2,CutFree,0.02,86973087744
2,CutFree,0.01,1.10075E+11
2,CutFree,0.056,55037657088
2,CutFree,0.009,82556485632
3,CutFree,0.033,97844723712
3,CutFree,0.231,43486543872
3,CutFree,0.442,24461180928
3,CutFree,0.149,77309411328
3,CutFree,0.164,61917364224
3,CutFree,0.436,30958682112
3,CutFree,0.236,34828517376
3,CutFree,0.269,36691771392
3,CutFree,0.559,24461180928
3,CutFree,0.139,73383542784
4,CutFree,0.606,20639121408
4,CutFree,2.443,18345885696
4,CutFree,0.076,68719476736
4,CutFree,0.027,46438023168
4,CutFree,0.37,27518828544
4,CutFree,2.441,18345885696
4,CutFree,1.502,27518828544
4,CutFree,1.03,20639121408
4,CutFree,0.419,30958682112
4,CutFree,0.079,34828517376
5,CutFree,7.73,12884901888
5,CutFree,2.83,15479341056
5,CutFree,1.766,18345885696
5,CutFree,4.404,17414258688
5,CutFree,2.593,18345885696
5,CutFree,2.536,16307453952
5,CutFree,14.295,10319560704
5,CutFree,12.09,11609505792
5,CutFree,4.163,14693280768
5,CutFree,0.687,19327352832
6,CutFree,14.766,8707129344
6,CutFree,36.276,8707129344
6,CutFree,4.165,15479341056
6,CutFree,11.154,11609505792
6,CutFree,5.456,12230590464
6,CutFree,5.864,13060694016
6,CutFree,7.599,14495514624
6,CutFree,4.576,13759414272
6,CutFree,6.681,11019960576
6,CutFree,1.503,16307453952
7,CutFree,42.826,7739670528
7,CutFree,21.25,11609505792
7,CutFree,10.119,11609505792
7,CutFree,9.586,13759414272
7,CutFree,11.687,10319560704
7,CutFree,3.882,16307453952
7,CutFree,6.926,12230590464
7,CutFree,15.158,9172942848
7,CutFree,19.664,9172942848
7,CutFree,8.085,10871635968
8,CutFree,31.814,6879707136
8,CutFree,18.603,8153726976
8,CutFree,49.693,6115295232
8,CutFree,82.041,6530347008
8,CutFree,8.296,9172942848
8,CutFree,98.657,6198727824
8,CutFree,24.235,6879707136
8,CutFree,53.834,6879707136
8,CutFree,28.92,7739670528
8,CutFree,20.652,10319560704
1,RL,1.457709126,2.61E+11
1,RL,1.481572897,1.10E+11
1,RL,1.509990585,1.10E+11
1,RL,1.48302572,1.10E+11
1,RL,1.551722095,1.10E+11
1,RL,1.491013538,8.26E+10
1,RL,1.219497664,1.47E+10
1,RL,1.160138065,1.47E+10
1,RL,1.157266883,1.47E+10
1,RL,1.424999543,1.10E+11
2,RL,1.392283962,1.74E+10
2,RL,1.596007809,1.83E+10
2,RL,1.732582975,3.26E+10
2,RL,1.732315308,8.70E+10
2,RL,2.203660446,7.34E+10
2,RL,1.879014262,1.47E+10
2,RL,1.604733016,8.26E+10
2,RL,1.261514715,6.19E+10
2,RL,1.202033561,2.61E+10
2,RL,1.386368122,8.26E+10
3,RL,1.39055847,8.26E+10
3,RL,1.35128623,3.10E+10
3,RL,1.50630955,1.55E+10
3,RL,1.568003899,9.66E+09
3,RL,1.492544835,3.10E+10
3,RL,2.452012396,2.06E+10
3,RL,1.22838495,1.47E+10
3,RL,1.545033625,2.06E+10
3,RL,1.402924788,7.74E+09
3,RL,1.655463916,5.50E+10
4,RL,1.59928992,4.08E+09
4,RL,1.572614393,5.16E+09
4,RL,1.716762359,6.87E+10
4,RL,1.771827962,1.83E+10
4,RL,1.492924407,1.55E+10
4,RL,1.458212472,6.12E+09
4,RL,1.317458138,1.10E+10
4,RL,1.647905297,7.25E+09
4,RL,1.956448865,1.38E+10
4,RL,1.576868018,4.08E+09
5,RL,1.665357876,8.71E+09
5,RL,1.787223531,3.62E+09
5,RL,1.475062682,9.80E+09
5,RL,2.33342876,1.47E+10
5,RL,1.745844251,6.88E+09
5,RL,1.493939514,1.03E+10
5,RL,1.660140048,5.16E+09
5,RL,1.558061366,4.59E+09
5,RL,1.727411929,4.35E+09
5,RL,1.624294642,9.17E+09
6,RL,1.751209896,4.59E+09
6,RL,1.723839102,4.35E+09
6,RL,1.926366104,3.06E+09
6,RL,1.749833472,4.08E+09
6,RL,1.771512107,6.88E+09
6,RL,1.735115269,4.59E+09
6,RL,1.869420663,9.17E+09
6,RL,1.940790289,3.44E+09
6,RL,1.841225182,1.03E+10
6,RL,1.741064218,6.12E+09
7,RL,2.13468602,4.59E+09
7,RL,2.003673758,4.59E+09
7,RL,2.153172984,4.59E+09
7,RL,2.020199281,6.88E+09
7,RL,2.132239934,1.93E+09
7,RL,1.747130851,8.71E+09
7,RL,2.374331559,3.44E+09
7,RL,2.160785152,1.07E+09
7,RL,1.998318365,3.06E+09
7,RL,2.153846519,9.66E+09
8,RL,2.109704075,4.59E+09
8,RL,2.300044934,2.90E+09
8,RL,2.502629393,1.93E+09
8,RL,3.143447926,1.15E+09
8,RL,2.501898449,4.83E+09
8,RL,2.181372669,2.45E+09
8,RL,2.652740669,9.67E+08
8,RL,2.085894816,2.58E+09
8,RL,2.192685154,2.58E+09
8,RL,2.367852507,3.87E+09