run,without_intra,with_intra
1,26.425533662,29.901302835
2,53.759728067,58.749003802000004
3,86.12239800500001,85.146301566
4,108.47184217300001,113.90208607000001
5,138.865379375,139.463422433
6,157.061849118,169.073109138
7,182.058962939,199.272363027
8,207.450633319,227.80484705700002
9,232.855358927,257.386390855
10,251.690289636,285.920690219
11,275.61659906299997,314.331683627
12,305.479427576,342.09808896600003
13,331.83761261499995,371.164755026
14,349.918031904,398.704937571
15,365.854311351,427.261350366
16,389.094322666,456.350451869
17,411.496301047,486.146311039
18,437.486078315,515.392937799
19,458.281608806,543.924085544
20,481.415937341,573.1351828830001
21,500.327862738,602.8649383920001
22,524.471318098,631.053689002
23,543.464623504,658.471248882
24,564.636551902,686.150281165
25,589.9543981109999,713.624844565
26,611.7986193679999,736.6323286319999
27,627.6691971289999,764.656061003
28,650.0012438739999,793.368069378
29,665.5051866859999,820.440304744
30,683.4124490039999,848.425302698
31,702.2413837249999,876.826140483
32,726.7464719259999,904.952010513
33,745.4167952969999,933.80990973
34,762.4105313929999,961.889610283
35,783.040962352,990.556586968
36,802.218397912,1019.083398265
37,823.460233949,1047.32106444
38,845.011936613,1076.5956517450002
39,861.75206487,1105.1926599950002
40,881.621458889,1134.6427099890002
41,905.196930021,1164.0542082970003
42,929.9551391699999,1193.7906372110003
43,953.165875811,1223.0925751080003
44,973.3962942649999,1250.9239500660003
45,997.247438099,1279.6164021100003
46,1016.072326012,1308.6336940270003
47,1041.163465927,1338.0257864560003
48,1066.057347951,1367.8410147450004
49,1092.054672142,1395.9098572510004
50,1117.055244274,1423.665157874
51,1141.432219442,1450.88598312
52,1162.29659976,1479.190337454
53,1181.218351371,1507.06917985
54,1202.378691554,1535.0666365719999
55,1223.540569342,1562.5638614809998
56,1248.150298414,1591.0359663609997
57,1270.447563901,1620.8279493229998
58,1289.977517814,1650.3857382599997
59,1311.6443221270001,1680.1715329079998
60,1329.6511289450002,1710.3538699569997
61,1349.2715184560002,1738.7379807369996
62,1372.4868989310003,1767.0517033269996
63,1390.0036033190004,1796.1159602039995
64,1410.3914533480004,1825.0158493219994
65,1427.4804077340004,1854.1622155689995
66,1447.077378805,1878.812102679
67,1465.896823886,1907.284209733
68,1482.082528187,1936.9284796069999
69,1497.8216077079999,1965.537681654
70,1516.57822591,1993.55265113
71,1538.088395605,2022.137996169
72,1555.2585041739999,2050.830239067
73,1573.551125387,2079.545366072
74,1588.469949959,2108.045131628
75,1606.1276238359999,2136.935521722
76,1620.5960405419999,2164.598450351
77,1638.2201158239998,2194.069353677
78,1657.7345766999997,2222.480620691
79,1681.8727597869997,2251.472446337
80,1698.9070506869998,2276.19493938
81,1719.214831806,2302.236266345
82,1739.5891718869998,2330.9563936229997
83,1763.182439089,2357.0932774629996
84,1781.598924041,2385.8468515779996
85,1804.371748372,2415.1965152179996
86,1826.377782706,2442.8107509139995
87,1850.136914271,2471.3419087449997
88,1868.001359353,2500.3522660679996
89,1889.111885176,2530.5578075719995
90,1907.034044195,2555.1034766269995
91,1927.611645209,2584.2664182839994
92,1950.351473935,2611.5832633769996
93,1971.811538396,2641.3893982399995
94,1990.4768792,2670.9902320479996
95,2011.887876032,2699.3661934449997
96,2031.106877128,2727.5946811
97,2048.63982826,2757.4768038449997
98,2069.3483089399997,2786.627759779
99,2085.72729559,2815.544464906
100,2104.1966443459996,2844.484441465
101,2122.6712965919996,2873.9684627760003
102,2141.1807616349997,2902.289595438
103,2157.396763123,2932.813542799
104,2173.9511264199996,2961.606700281
105,2190.4334825389997,2989.945514012
106,2210.411186986,3018.04478967
107,2233.6832271999997,3045.66847672
108,2253.644586482,3075.80125678
109,2270.4597717419997,3104.388310937
110,2289.1700825069997,3133.970229767
111,2309.8540677499996,3162.390033172
112,2331.5596148769996,3191.208402058
113,2354.3124384739995,3219.9458354030003
114,2371.2761340429997,3249.308809146
115,2388.6651197469996,3278.765862746
116,2405.1689568179995,3307.433216196
117,2425.6917194909997,3335.925355878
118,2446.0132490779997,3364.43028133
119,2462.6454946729996,3392.823541106
120,2482.274587956,3423.211827798
121,2501.1701844579998,3453.175884634
122,2518.2502719199997,3481.706909605
123,2535.6038631609995,3511.498607391
124,2556.4814793929995,3540.925699712
125,2574.7226217829993,3570.084717882
126,2591.8237685849995,3597.278238995
127,2610.7423130729994,3627.1613014229997
128,2626.7918556689992,3655.7967844029995
129,2647.437567798999,3679.6829889969995
130,2665.697863602,3708.082146754
131,2683.484066809,3737.261764451
132,2706.3403224520002,3766.645444746
133,2726.7332890300004,3790.987306652
134,2745.3122055310005,3814.957925548
135,2760.0410735420005,3844.616727005
136,2777.9616560520003,3873.2709025130002
137,2796.09654523,3901.10582522
138,2810.865714734,3929.645120356
139,2829.392834163,3958.764144804
140,2843.872087542,3987.4811020839998
141,2860.516134743,4017.6938005479997
142,2875.6956053619997,4045.6704968189997
143,2893.666665028,4073.3120060159995
144,2911.178997676,4102.716701226
145,2928.421182119,4132.931643415
146,2948.100595481,4162.396921009
147,2965.0607233349997,4191.309271593
148,2981.188772189,4220.14122726
149,2999.4608451309996,4249.328690204
150,3016.802801004,4278.345279242
151,3035.090288294,4309.380151686
152,3057.014428047,4337.530294495
153,3075.713053127,4366.695659712
154,3094.641777282,4396.110318864
155,3110.11634672,4425.501738306
156,3128.600839587,4454.70539891
157,3148.812244269,4484.142600182
158,3166.478609919,4514.350136946
159,3181.6458096310002,4544.635765892
160,3199.0154281010005,4573.210166649
161,3215.9268377390003,4602.572289857
162,3239.74329001,4633.292265336
163,3256.068117464,4662.475627206
164,3273.34906545,4689.2854954370005
165,3293.752194697,4714.323471132
166,3311.798605802,4744.081607252
167,3328.113868578,4774.034813676
168,3345.799251969,4801.860685506001
169,3361.338792525,4830.170907834001
170,3376.191818279,4860.075645464001
171,3391.3002206300002,4891.001935543001
172,3406.396032476,4920.096012178002
173,3421.766148757,4950.240691481002
174,3438.020766318,4980.527202733002
175,3453.399865825,5010.147509731002
176,3471.8190146959996,5039.968779445002
177,3488.2796560279994,5070.191138417002
178,3503.292310586,5098.618578698
179,3527.175417685,5127.179650452001
180,3544.176964816,5156.335726029
181,3561.815053461,5185.028297023
182,3579.397629772,5213.4479052960005
183,3593.90571655,5242.109309026
184,3611.649520611,5271.165320212001
185,3629.39881613,5299.781497545001
186,3647.280427202,5328.638423562001
187,3664.667675916,5356.205728052001
188,3682.76893821,5384.246373393001
189,3698.914879452,5412.160446089001
190,3716.353738648,5442.183345373001
191,3734.5829685910003,5471.331635675001
192,3750.371688867,5501.375943156001
193,3766.580030734,5529.709912501001
194,3785.434499976,5558.217167514
195,3803.074784761,5587.917697227
196,3818.110421816,5616.630675365
197,3836.413916819,5646.065314183
198,3852.724425416,5675.791024851
199,3868.204447791,5701.000171375999
200,3883.031987166,5730.6386605689995
201,3900.3423360419997,5759.849473662999
202,3915.0327768649995,5790.580677206999
203,3932.1548183399996,5820.565887422999
204,3946.8857074239995,5849.947983749999
205,3964.7490375459997,5879.703639222999
206,3979.820440862,5908.394774991999
207,3997.196176551,5937.631684801999
208,4010.601563766,5967.5959037779985
209,4027.3321039489997,5997.156244380999
210,4041.359355134,6026.17577215
211,4058.3166128029998,6055.647293889
212,4075.231041665,6086.431993705
213,4089.777393506,6116.796172955001
214,4105.603417226,6142.535232127001
215,4122.439702494,6173.024026966001
216,4135.460879759,6202.757303546001
217,4153.123488056,6233.602472404001
218,4170.094557494999,6264.642353393001
219,4184.681528445999,6294.440475947001
220,4200.185404925999,6324.954382877001
221,4216.492675233999,6354.668120872001
222,4233.410405733999,6384.714752395001
223,4250.898404662999,6413.985803487
224,4265.630035632999,6444.423638376001
225,4279.472840991999,6473.2639712830005
226,4294.058545222,6502.595493942999
227,4311.595011908,6532.0194047509995
228,4327.37830689,6561.3509798489995
229,4343.4661365,6590.559347717999
230,4361.678671718,6621.002289134999
231,4379.278255682,6650.856264314999
232,4395.805546468,6677.476623936999
233,4411.083740247,6704.940815524999
234,4425.366089573,6734.172052999
235,4440.399175584,6764.964606464
236,4458.179096193,6794.4647568
237,4475.961532804,6824.869354054
238,4493.644692691,6855.820151909
239,4511.027132762,6883.69157773
240,4527.908470998001,6911.623271543
241,4545.990010554001,6941.304778119999
242,4564.565238814999,6972.456595656
243,4582.672276492999,7000.701524299
244,4600.066865524999,7029.718383157
245,4615.740421801,7059.483941412
246,4631.69787576,7089.163290032
247,4648.82340312,7118.804567043
248,4666.726642046,7147.839593188
249,4683.191398152,7176.073011211
250,4701.000882617001,7205.727773433
251,4718.634315227,7236.455664425
252,4735.269218111001,7265.131651764
253,4753.989643484,7294.181824548999
254,4769.724194745,7324.330755990999
255,4788.446060243,7352.725608873999
256,4807.123264703,7380.579657876999
257,4826.190499964,7410.020919559999
258,4843.9604347409995,7439.364797376
259,4862.586408104,7468.156208889
260,4876.699692671,7497.648302150999
261,4891.478483281,7527.423086020999
262,4907.264510598,7557.925749442999
263,4925.988340612,7587.746277707999
264,4944.7301905859995,7616.445962163999
265,4961.726777569,7646.103989339999
266,4979.4368919379995,7674.127454416999
267,4996.846523492999,7702.726498065999
268,5014.536146273999,7732.541829384999
269,5030.998714727999,7762.187146680999
270,5048.946745486999,7790.993134226999
271,5066.655204451999,7818.917433784999
272,5084.730209807999,7848.984303198999
273,5100.668178351999,7879.172787039
274,5115.1361412900005,7910.122212459
275,5132.760766953001,7940.133350133
276,5150.921707436,7968.992970571
277,5166.07634225,7992.991230052
278,5184.598551959,8022.148423596
279,5201.916988912,8051.263772056
280,5215.784960693,8078.716933008
281,5233.089117284,8107.860008643
282,5248.692311054,8137.899328202
283,5266.4409715,8167.298189064
284,5280.145955028001,8196.987663819
285,5298.304176031001,8226.695904712
286,5312.851406465001,8256.551118277
287,5330.121325921001,8286.946538269001
288,5346.743840074001,8316.97631112
289,5363.511693391001,8346.784533597001
290,5377.532969117,8375.342920531
291,5392.560523354,8404.568701482
292,5410.654454135,8434.657894611
293,5428.361796896001,8464.971563999
294,5446.224581765001,8494.659106644001
295,5463.497825228001,8524.843566545002
296,5481.929658549001,8553.495864515002
297,5499.927677283001,8582.952510987001
298,5516.954869571001,8613.045121963001
299,5534.893657740001,8643.310398752
300,5552.728047651,8672.005505834
301,5571.050732417,8701.274105324
302,5586.830420613001,8729.637008463
303,5601.85853947,8758.248824623
304,5619.3559912850005,8787.605382222
305,5633.95623123,8817.342457309
306,5649.408271209,8845.423514795
307,5666.554478405001,8874.397740674
308,5684.774512381001,8902.364900663
309,5703.069062637001,8931.297173495
310,5718.592753033001,8961.050066912001
311,5736.440824689001,8990.939514775002
312,5754.8237781200005,9020.827664395001
313,5770.9827192190005,9049.785027368001
314,5789.0095909130005,9079.605164154002
315,5807.263721905,9108.822206907002
316,5822.440242131001,9138.338210152002
317,5841.256843711,9168.741416377003
318,5859.243845675001,9198.965376711003
319,5874.186073352001,9228.674629196003
320,5892.251926581001,9258.510766196003
321,5909.708721969,9288.277329546003
322,5928.025277233999,9317.577379751001
323,5943.653639765999,9347.745730792001
324,5960.418766766999,9377.324255351
325,5978.146326095999,9405.59092298
326,5996.506888178999,9435.334197027
327,6014.718777024999,9464.190496792
328,6031.479094595999,9493.516876383
329,6048.645556109,9522.383928013001
330,6066.945592792,9550.860563129001
331,6081.935928901,9580.897991469
332,6099.38241009,9610.719787626002
333,6113.192391708,9639.395684609002
334,6131.4073448280005,9668.442594385002
335,6148.302939451,9699.616941852002
336,6164.043952508,9729.597702213003
337,6181.070795775,9760.760776455003
338,6198.313049581,9790.086232816
339,6213.114244252,9821.263770378
340,6227.093221754,9850.803241617
341,6240.564695991,9880.356396708
342,6257.891940511,9909.895792004001
343,6273.555319147,9940.143880669
344,6288.807551227,9967.986554915
345,6308.4371673979995,9999.909805417
346,6325.812219523999,10030.153284315002
347,6343.525714258999,10061.895413793001
348,6361.389037222999,10091.650320836
349,6378.659365916999,10122.646357118001
350,6393.199852760999,10151.254789451
351,6410.797981100999,10180.327092235
352,6428.334504221999,10210.492959079
353,6446.449653463999,10240.125141834
354,6463.674397129,10270.649850463
355,6482.545178677,10300.496494656
356,6499.6442177769995,10331.197972205999
357,6517.631949979999,10360.836239664999
358,6535.038360645999,10390.562173007
359,6552.710792522999,10420.036901821
360,6570.6294625479995,10450.607946017
361,6587.943093981,10479.689051982
362,6605.5126147,10509.309990680002
363,6623.53583444,10536.383064784002
364,6641.201685563,10566.124186743002
365,6658.64404949,10596.411881750002
366,6676.736101281,10625.018884713001
367,6694.997636123,10652.369053427
368,6711.467441045,10682.405710455001
369,6729.3737458939995,10710.977291415002
370,6747.157677728999,10739.929962668
371,6765.255437895999,10767.811730147001
372,6783.117704652999,10796.221635967002
373,6797.803635208999,10826.158039310001
374,6815.426496179999,10855.636409636001
375,6833.269898328999,10886.086365922001
376,6851.162957737999,10916.626898731001
377,6867.779841937999,10947.042718948001
378,6885.944501039999,10973.425275718002
379,6903.004426459998,11004.856948946002
380,6921.188280226998,11032.284257471003
381,6936.185956173998,11061.313377674003
382,6949.226258523999,11090.617049235003
383,6964.812480403999,11120.338499337004
384,6982.628077920999,11149.302967221003
385,6996.827391302999,11179.309764729003
386,7014.10021031,11210.630408497
387,7032.094584691,11241.160030003999
388,7049.970321322,11270.232404474
389,7068.65111429,11299.692157399
390,7087.248775969,11328.271753303
391,7105.614242116,11357.523831412002
392,7122.744275286001,11387.047145599001
393,7140.268591836,11416.103865975001
394,7158.896757046,11444.119989217
395,7177.9308383669995,11473.227394623002
396,7194.016652797999,11502.322314229
397,7212.6245899079995,11532.293179633001
398,7228.289128582,11561.751962485001
399,7246.808101635999,11592.015806640002
400,7265.5541514629995,11620.993678635003
401,7283.221330930999,11646.747127441002
402,7301.7305915239995,11676.671057855001
403,7319.878307995999,11706.348371205
404,7336.1373289269995,11735.491446652
405,7354.148064421,11765.500624173
406,7372.529478908999,11794.283286129
407,7390.009191138,11823.686825799
408,7405.8862039959995,11853.880672827001
409,7422.28474225,11884.224568933001
410,7439.6347123529995,11912.923687468001
411,7454.5649291009995,11942.702599771
412,7472.255276645,11972.186593043001
413,7490.318105593,12001.636690091002
414,7507.669511061,12031.644650699001
415,7525.888027856,12061.083399816001
416,7543.934228855,12091.146492275002
417,7561.619624651999,12121.067280326002
418,7578.937366069,12151.494891179
419,7596.376635187999,12181.670228988
420,7614.308661931,12210.437932736
421,7631.7889430919995,12239.315923338001
422,7650.438553681999,12269.542118483001
423,7668.405276290999,12298.670553614002
424,7682.395755777999,12327.836527069001
425,7700.314817090999,12357.313307767
426,7718.164380493999,12388.305724414
427,7736.219917727999,12418.480133878
428,7754.010838587999,12448.294641024
429,7771.912355477999,12477.659330216
430,7789.545595499999,12507.921543573
431,7807.648087698999,12538.215914926
432,7824.720063111999,12567.159001753
433,7843.415989070999,12597.943339852
434,7858.217560552001,12627.108191806
435,7876.612141233,12656.294766608002
436,7894.431936287,12686.864309498002
437,7911.908352984,12716.389041214
438,7929.887830949,12743.44905991
439,7947.457221172,12773.991507249
440,7965.804998725,12803.395832807
441,7983.328189772,12834.130392545001
442,8001.9969037559995,12864.087652990002
443,8019.569900113,12892.713717599001
444,8034.214184371,12921.165880633002
445,8053.171100208,12950.338443958002
446,8071.39075239,12980.498836137001
447,8086.4212601439995,13010.736969024001
448,8104.7708762229995,13040.155296775001
449,8119.728272853999,13069.242898781002
450,8134.498403751,13098.948409806
451,8149.338930188001,13130.509553762
452,8165.231609531001,13161.090851916
453,8180.293460351,13190.796745506
